,ModelType,NumUnits,ImgSize,RegCoeff,Accuracy,TrainingLoss,ValAccuracy,ValLoss
0,short_residuals,2048,32,0.0001,"[0.146945521235466, 0.19977985322475433, 0.23868533968925476, 0.28563565015792847, 0.268024206161499, 0.29884424805641174, 0.33131536841392517, 0.3346174955368042, 0.34122177958488464, 0.3588332533836365, 0.33902037143707275, 0.3659878969192505, 0.3896532654762268, 0.3802971839904785, 0.3747936189174652, 0.37424325942993164, 0.3968079388141632, 0.38690149784088135, 0.39845898747444153, 0.39240506291389465, 0.41111722588539124, 0.41607043147087097, 0.4177215099334717, 0.43698403239250183, 0.4353329539299011, 0.43863511085510254, 0.4149697422981262, 0.4413869082927704, 0.4424876272678375, 0.43698403239250183, 0.46395155787467957, 0.43423226475715637, 0.45349475741386414, 0.4463401138782501, 0.4705558717250824, 0.4650522768497467, 0.474408358335495, 0.46450191736221313, 0.4683544337749481, 0.45150861144065857, 0.47898706793785095, 0.48266372084617615, 0.4667033553123474, 0.47826087474823, 0.48266372084617615, 0.4799119532108307, 0.48981839418411255, 0.481563001871109, 0.47550907731056213, 0.49461206793785095, 0.48596587777137756, 0.47165659070014954, 0.48816731572151184, 0.49146944284439087, 0.4793615937232971, 0.4870665967464447, 0.47330763936042786, 0.4738579988479614, 0.4777105152606964, 0.4832140803337097, 0.4980737566947937, 0.49532195925712585, 0.4909190833568573, 0.496422678232193, 0.4870665967464447, 0.48266372084617615]","[2.6284494400024414, 2.51450252532959, 2.4680423736572266, 2.410172939300537, 2.3849096298217773, 2.3540213108062744, 2.3257901668548584, 2.305905342102051, 2.2903358936309814, 2.2740330696105957, 2.264225721359253, 2.245035409927368, 2.213391065597534, 2.2054340839385986, 2.1937618255615234, 2.1849443912506104, 2.1524009704589844, 2.1687653064727783, 2.165860891342163, 2.1524617671966553, 2.1239099502563477, 2.130291223526001, 2.1090593338012695, 2.0969314575195312, 2.0869808197021484, 2.102006435394287, 2.1015141010284424, 2.068814277648926, 2.060312509536743, 2.0606296062469482, 2.046959400177002, 2.0679092407226562, 2.03328013420105, 2.046604871749878, 2.0365493297576904, 2.0460124015808105, 2.0158355236053467, 2.0379111766815186, 2.02860426902771, 2.0348808765411377, 2.0199294090270996, 1.9797844886779785, 2.022408962249756, 1.9935928583145142, 2.010866403579712, 1.993021845817566, 2.005056142807007, 2.0018606185913086, 1.9936388731002808, 1.9757267236709595, 1.9901231527328491, 1.991560935974121, 1.995156168937683, 1.9632930755615234, 1.975280523300171, 1.9974242448806763, 1.9648308753967285, 1.9927884340286255, 1.9862003326416016, 1.9847599267959595, 1.9633584022521973, 1.9722381830215454, 1.9680415391921997, 1.9600412845611572, 1.963418960571289, 1.9663100242614746]","[0.1705729216337204, 0.22265625, 0.2356770783662796, 0.2630208432674408, 0.3151041567325592, 0.3528645932674408, 0.3645833432674408, 0.3190104067325592, 0.3736979067325592, 0.3658854067325592, 0.375, 0.3958333432674408, 0.3997395932674408, 0.4244791567325592, 0.4153645932674408, 0.4127604067325592, 0.4153645932674408, 0.4309895932674408, 0.4401041567325592, 0.4231770932674408, 0.421875, 0.4283854067325592, 0.4153645932674408, 0.4440104067325592, 0.4752604067325592, 0.44921875, 0.4830729067325592, 0.46875, 0.484375, 0.4739583432674408, 0.4544270932674408, 0.4700520932674408, 0.4700520932674408, 0.5065104365348816, 0.5, 0.5078125, 0.5, 0.4921875, 0.4830729067325592, 0.4817708432674408, 0.5078125, 0.5182291865348816, 0.5104166865348816, 0.4921875, 0.5169270634651184, 0.51953125, 0.5, 0.5078125, 0.53125, 0.5169270634651184, 0.5169270634651184, 0.5052083134651184, 0.5091145634651184, 0.51953125, 0.515625, 0.5325520634651184, 0.5065104365348816, 0.5143229365348816, 0.53125, 0.50390625, 0.5260416865348816, 0.515625, 0.5143229365348816, 0.53125, 0.5247395634651184, 0.5208333134651184]","[2.5388858318328857, 2.473381757736206, 2.417973518371582, 2.3703815937042236, 2.3189265727996826, 2.2743101119995117, 2.2638418674468994, 2.23655366897583, 2.210068941116333, 2.178544521331787, 2.159982442855835, 2.1384804248809814, 2.110037088394165, 2.088576316833496, 2.0792999267578125, 2.0668091773986816, 2.05658221244812, 2.0398061275482178, 2.024190902709961, 2.0412800312042236, 2.0135703086853027, 2.0014307498931885, 2.0044212341308594, 1.9800443649291992, 1.9754594564437866, 1.9729689359664917, 1.946356177330017, 1.943960189819336, 1.9333209991455078, 1.9343570470809937, 1.9249835014343262, 1.9154490232467651, 1.920366644859314, 1.90716552734375, 1.9062129259109497, 1.8954917192459106, 1.8889942169189453, 1.8894163370132446, 1.8801231384277344, 1.8907819986343384, 1.8794364929199219, 1.8710654973983765, 1.8754531145095825, 1.8772321939468384, 1.8639607429504395, 1.8622159957885742, 1.8708816766738892, 1.8577083349227905, 1.8474946022033691, 1.8489285707473755, 1.8435660600662231, 1.8520169258117676, 1.851320743560791, 1.8354023694992065, 1.8378926515579224, 1.8317670822143555, 1.8464542627334595, 1.841148853302002, 1.8275017738342285, 1.8430390357971191, 1.8316704034805298, 1.8468189239501953, 1.8365243673324585, 1.8286150693893433, 1.832345962524414, 1.8243789672851562]"
1,short_residuals,2048,64,0.001,"[0.15575124323368073, 0.21408915519714355, 0.26197028160095215, 0.2944413721561432, 0.32085856795310974, 0.3434232175350189, 0.35608145594596863, 0.3582828938961029, 0.36818933486938477, 0.36818933486938477, 0.36873969435691833, 0.38855254650115967, 0.3990093469619751, 0.3880021870136261, 0.4067143499851227, 0.4133186638355255, 0.4061640202999115, 0.4067143499851227, 0.42762795090675354, 0.41827186942100525, 0.42542651295661926, 0.4336819052696228, 0.43423226475715637, 0.4397358298301697, 0.4595487117767334, 0.43698403239250183, 0.4578976333141327, 0.4705558717250824, 0.46450191736221313, 0.43258118629455566, 0.467253714799881, 0.46945515275001526, 0.4738579988479614, 0.47716015577316284, 0.4683544337749481, 0.4628508388996124, 0.4738579988479614, 0.48981839418411255, 0.4735991358757019, 0.47330763936042786, 0.48651623725891113, 0.47110623121261597, 0.4667033553123474, 0.48816731572151184, 0.4887176752090454, 0.48046231269836426, 0.4903687536716461, 0.5013759136199951, 0.4947715997695923, 0.492570161819458, 0.481563001871109, 0.49862411618232727, 0.49697303771972656, 0.48046231269836426, 0.5041276812553406, 0.47550907731056213, 0.4942212402820587, 0.4997248351573944, 0.492570161819458, 0.5008255243301392, 0.489268034696579, 0.4870665967464447, 0.4958723187446594, 0.4931205213069916, 0.49697303771972656, 0.5013759136199951, 0.5057787299156189, 0.4942212402820587, 0.49752339720726013, 0.4929956793785095, 0.492570161819458]","[7.984138488769531, 7.813469886779785, 7.682487964630127, 7.59599494934082, 7.494513988494873, 7.407628536224365, 7.322080612182617, 7.26296329498291, 7.192258834838867, 7.1345109939575195, 7.069878101348877, 7.01389217376709, 6.936966896057129, 6.912622451782227, 6.836512565612793, 6.790737628936768, 6.733402252197266, 6.706925392150879, 6.655379772186279, 6.641962051391602, 6.588993549346924, 6.544703483581543, 6.502003192901611, 6.46902322769165, 6.419987678527832, 6.416937351226807, 6.366104602813721, 6.32410192489624, 6.309048652648926, 6.30397891998291, 6.263725757598877, 6.246622085571289, 6.200675964355469, 6.166655540466309, 6.160836696624756, 6.143676280975342, 6.110362529754639, 6.10103702545166, 6.084982872009277, 6.073653221130371, 6.043062210083008, 6.030435562133789, 6.0230183601379395, 6.001372337341309, 5.976506233215332, 5.975285530090332, 5.9629225730896, 5.9516520500183105, 5.942094326019287, 5.937439441680908, 5.9333882331848145, 5.905091762542725, 5.896096706390381, 5.8997979164123535, 5.876512050628662, 5.8856635093688965, 5.868600845336914, 5.846645355224609, 5.857250213623047, 5.841747760772705, 5.83010721206665, 5.828270435333252, 5.82115364074707, 5.812845230102539, 5.797457695007324, 5.819544315338135, 5.802992343902588, 5.821742057800293, 5.802159309387207, 5.817854881286621, 5.809185028076172]","[0.1940104216337204, 0.2526041567325592, 0.2981770932674408, 0.33203125, 0.3567708432674408, 0.33203125, 0.3736979067325592, 0.375, 0.40625, 0.3932291567325592, 0.40625, 0.39453125, 0.4088541567325592, 0.4466145932674408, 0.4296875, 0.4205729067325592, 0.44140625, 0.4778645932674408, 0.48046875, 0.4309895932674408, 0.4466145932674408, 0.4817708432674408, 0.44921875, 0.4505208432674408, 0.4375, 0.4713541567325592, 0.4739583432674408, 0.4778645932674408, 0.4830729067325592, 0.46875, 0.515625, 0.5013020634651184, 0.5143229365348816, 0.5026041865348816, 0.5143229365348816, 0.5026041865348816, 0.4856770932674408, 0.5091145634651184, 0.5065104365348816, 0.4895833432674408, 0.5169270634651184, 0.48828125, 0.5065104365348816, 0.5078125, 0.50390625, 0.5247395634651184, 0.5377604365348816, 0.5143229365348816, 0.5130208134651184, 0.51953125, 0.5104166865348816, 0.5299479365348816, 0.53515625, 0.515625, 0.5143229365348816, 0.5403645634651184, 0.51953125, 0.5299479365348816, 0.5325520634651184, 0.5143229365348816, 0.5520833134651184, 0.55078125, 0.53125, 0.5169270634651184, 0.5377604365348816, 0.53125, 0.5338541865348816, 0.52734375, 0.5338541865348816, 0.5364583134651184, 0.5416666865348816]","[7.873218536376953, 7.709209442138672, 7.588319301605225, 7.4898247718811035, 7.37269401550293, 7.314262390136719, 7.207925796508789, 7.1497015953063965, 7.059163570404053, 7.015140056610107, 6.932229995727539, 6.878349781036377, 6.834163665771484, 6.755779266357422, 6.696360111236572, 6.653666973114014, 6.6022515296936035, 6.5495991706848145, 6.506410121917725, 6.487636089324951, 6.453024387359619, 6.403316497802734, 6.371776103973389, 6.334417819976807, 6.328592300415039, 6.25921630859375, 6.230850696563721, 6.189140796661377, 6.170019149780273, 6.1694560050964355, 6.116185665130615, 6.083297252655029, 6.049026012420654, 6.04290771484375, 6.016439914703369, 6.004636764526367, 5.99168062210083, 5.9551520347595215, 5.949397563934326, 5.941667079925537, 5.8981475830078125, 5.9090800285339355, 5.893465518951416, 5.849147796630859, 5.865355014801025, 5.832111358642578, 5.828790187835693, 5.81408166885376, 5.810553073883057, 5.802061080932617, 5.783603668212891, 5.762447357177734, 5.754955291748047, 5.7519211769104, 5.762182712554932, 5.722101211547852, 5.7347564697265625, 5.730081081390381, 5.721054553985596, 5.730250835418701, 5.700981140136719, 5.699830532073975, 5.700946807861328, 5.712919235229492, 5.69502592086792, 5.680180072784424, 5.687107086181641, 5.678375244140625, 5.678825378417969, 5.660436153411865, 5.667171478271484]"
2,no_residuals,2048,64,0.0001,"[0.22949917614459991, 0.3093010485172272, 0.35718217492103577, 0.3747936189174652, 0.40341222286224365, 0.3973582684993744, 0.42212438583374023, 0.42597687244415283, 0.43588361144065857, 0.4303797483444214, 0.4509698152542114, 0.45514583587646484, 0.445239394903183, 0.45043104887008667, 0.4766097962856293, 0.46064943075180054, 0.46945515275001526, 0.48046231269836426, 0.46395155787467957, 0.467253714799881, 0.4909190833568573, 0.4705558717250824, 0.48431479930877686, 0.467253714799881, 0.5079801678657532, 0.5167859196662903, 0.489268034696579, 0.5024766325950623, 0.5118327140808105, 0.5239405632019043, 0.5123830437660217, 0.5195376873016357, 0.5156852006912231, 0.5063291192054749, 0.5338469743728638, 0.5008255243301392, 0.5310952067375183, 0.5211887955665588, 0.5024766325950623, 0.5184369683265686, 0.522289514541626, 0.5399009585380554, 0.5266923308372498, 0.5272427201271057, 0.5338469743728638, 0.5399009585380554, 0.5459548830986023, 0.5382498502731323, 0.5382498502731323, 0.5376995205879211, 0.528893768787384, 0.5531095266342163, 0.5470556020736694, 0.5646670460700989]","[2.4612858295440674, 2.327085018157959, 2.2527084350585938, 2.1969544887542725, 2.1589279174804688, 2.116621494293213, 2.097776174545288, 2.077807903289795, 2.0605080127716064, 2.072470188140869, 2.0384879112243652, 2.0234034061431885, 2.002323865890503, 2.019935131072998, 1.9872816801071167, 1.9856834411621094, 1.9904143810272217, 1.967005968093872, 1.974348783493042, 1.99465012550354, 1.9552099704742432, 1.9556227922439575, 1.9456244707107544, 1.9366644620895386, 1.94158136844635, 1.9238088130950928, 1.9090948104858398, 1.922208547592163, 1.9085348844528198, 1.8938367366790771, 1.9178439378738403, 1.8893871307373047, 1.8854610919952393, 1.8605232238769531, 1.8738689422607422, 1.887945532798767, 1.8842136859893799, 1.8676035404205322, 1.8842939138412476, 1.851706624031067, 1.8532499074935913, 1.8427765369415283, 1.8472603559494019, 1.8565776348114014, 1.8387290239334106, 1.8371974229812622, 1.8276572227478027, 1.8299216032028198, 1.8083714246749878, 1.829740285873413, 1.8361862897872925, 1.812402367591858, 1.8172661066055298, 1.8115233182907104]","[0.3190104067325592, 0.4231770932674408, 0.36328125, 0.42578125, 0.4375, 0.4817708432674408, 0.421875, 0.5299479365348816, 0.4088541567325592, 0.4765625, 0.47265625, 0.5546875, 0.5026041865348816, 0.5325520634651184, 0.4986979067325592, 0.5208333134651184, 0.5598958134651184, 0.5299479365348816, 0.5026041865348816, 0.5390625, 0.5182291865348816, 0.5221354365348816, 0.55078125, 0.5442708134651184, 0.5520833134651184, 0.5768229365348816, 0.5768229365348816, 0.5455729365348816, 0.56640625, 0.5559895634651184, 0.5625, 0.5729166865348816, 0.5846354365348816, 0.5807291865348816, 0.5872395634651184, 0.5703125, 0.5651041865348816, 0.5703125, 0.5572916865348816, 0.5794270634651184, 0.57421875, 0.5833333134651184, 0.5794270634651184, 0.59765625, 0.5846354365348816, 0.5859375, 0.58984375, 0.58984375, 0.5924479365348816, 0.5768229365348816, 0.59765625, 0.5807291865348816, 0.5859375, 0.5924479365348816]","[2.3185269832611084, 2.1830129623413086, 2.1319870948791504, 2.071577548980713, 1.9906388521194458, 1.9776744842529297, 1.9707841873168945, 1.9138294458389282, 1.991866946220398, 1.9092512130737305, 1.877604603767395, 1.8389745950698853, 1.8663444519042969, 1.847953200340271, 1.8693714141845703, 1.8654886484146118, 1.8206586837768555, 1.8132370710372925, 1.8358105421066284, 1.7740755081176758, 1.8171896934509277, 1.8102959394454956, 1.7871648073196411, 1.7656294107437134, 1.7658329010009766, 1.7531561851501465, 1.7241390943527222, 1.7507270574569702, 1.7361825704574585, 1.7191661596298218, 1.710382342338562, 1.7106475830078125, 1.7101078033447266, 1.694299340248108, 1.697288990020752, 1.6995524168014526, 1.718044638633728, 1.6998977661132812, 1.7225936651229858, 1.701302170753479, 1.7051129341125488, 1.6943479776382446, 1.6756505966186523, 1.6714344024658203, 1.6720709800720215, 1.6778626441955566, 1.6735895872116089, 1.682936191558838, 1.6703027486801147, 1.6810795068740845, 1.6707643270492554, 1.6640688180923462, 1.6663212776184082, 1.6600303649902344]"
3,long_residuals,4096,32,1e-05,"[0.21629059314727783, 0.3093010485172272, 0.3533296585083008, 0.4039625823497772, 0.43313154578208923, 0.4358833134174347, 0.46615299582481384, 0.474408358335495, 0.47716015577316284, 0.49697303771972656, 0.49532195925712585, 0.47716015577316284, 0.5041276812553406, 0.5189873576164246, 0.5189873576164246, 0.5063291192054749, 0.5156852006912231, 0.5211887955665588, 0.5195376873016357, 0.5189873576164246, 0.5178866386413574, 0.5354980826377869, 0.5399009585380554, 0.5382498502731323, 0.5410016775131226, 0.5536598563194275, 0.5316455960273743, 0.5421023368835449, 0.5630159378051758, 0.5635663270950317, 0.5795266628265381, 0.5712713003158569, 0.5652173757553101, 0.5817281007766724, 0.5663180947303772, 0.5767748951911926, 0.5663180947303772, 0.5817281007766724, 0.5784260034561157, 0.5828288197517395, 0.5767748951911926, 0.5679692029953003, 0.5762245655059814, 0.5855806469917297, 0.5806273818016052, 0.5883324146270752, 0.580077052116394, 0.5883324146270752]","[2.236715316772461, 2.0835046768188477, 2.000307083129883, 1.8991153240203857, 1.8443660736083984, 1.7992897033691406, 1.7370661497116089, 1.7230697870254517, 1.6934139728546143, 1.7144298553466797, 1.6657707691192627, 1.7032294273376465, 1.6612317562103271, 1.6342155933380127, 1.621968150138855, 1.6012027263641357, 1.6187634468078613, 1.602547526359558, 1.590305209159851, 1.5944404602050781, 1.5924125909805298, 1.5531021356582642, 1.5457279682159424, 1.5632954835891724, 1.5407848358154297, 1.5119205713272095, 1.5478967428207397, 1.515834093093872, 1.4908461570739746, 1.4763799905776978, 1.4826799631118774, 1.4765517711639404, 1.4599989652633667, 1.4658498764038086, 1.4655731916427612, 1.4512219429016113, 1.459263801574707, 1.4184215068817139, 1.472281813621521, 1.426653265953064, 1.4287723302841187, 1.4119166135787964, 1.4170395135879517, 1.4241015911102295, 1.4109835624694824, 1.4140228033065796, 1.4119435548782349, 1.4329348802566528]","[0.3020833432674408, 0.35546875, 0.4674479067325592, 0.41015625, 0.4635416567325592, 0.48828125, 0.5338541865348816, 0.5208333134651184, 0.5442708134651184, 0.546875, 0.5546875, 0.53515625, 0.5651041865348816, 0.5481770634651184, 0.5625, 0.5026041865348816, 0.5859375, 0.5598958134651184, 0.5611979365348816, 0.58984375, 0.6002604365348816, 0.5833333134651184, 0.5833333134651184, 0.5572916865348816, 0.5755208134651184, 0.5885416865348816, 0.61328125, 0.5950520634651184, 0.5859375, 0.59765625, 0.6158854365348816, 0.6028645634651184, 0.6015625, 0.6028645634651184, 0.6223958134651184, 0.5807291865348816, 0.6158854365348816, 0.63671875, 0.6119791865348816, 0.6119791865348816, 0.6263020634651184, 0.6197916865348816, 0.63671875, 0.6067708134651184, 0.625, 0.63671875, 0.58984375, 0.6341145634651184]","[2.0969936847686768, 1.949336051940918, 1.8101869821548462, 1.7816241979599, 1.6679850816726685, 1.6272608041763306, 1.565452218055725, 1.553444266319275, 1.523433804512024, 1.541062355041504, 1.4804368019104004, 1.5247001647949219, 1.515079140663147, 1.4824652671813965, 1.4966154098510742, 1.5385003089904785, 1.4431935548782349, 1.4386643171310425, 1.4350647926330566, 1.407314419746399, 1.3912864923477173, 1.3916292190551758, 1.4230937957763672, 1.4390336275100708, 1.4032448530197144, 1.3811885118484497, 1.3679333925247192, 1.3506418466567993, 1.3864789009094238, 1.3386284112930298, 1.3334603309631348, 1.3684924840927124, 1.334981083869934, 1.3487597703933716, 1.3254681825637817, 1.3939369916915894, 1.3419185876846313, 1.3098509311676025, 1.3114889860153198, 1.3148928880691528, 1.3256412744522095, 1.2958897352218628, 1.303472638130188, 1.3231621980667114, 1.2953016757965088, 1.2792593240737915, 1.3309625387191772, 1.2672911882400513]"
4,long_residuals,2048,64,0.01,"[0.14309300482273102, 0.20528343319892883, 0.2388552576303482, 0.2773802876472473, 0.3197578489780426, 0.3291139304637909, 0.35553109645843506, 0.34122177958488464, 0.3599339425563812, 0.3604843020439148, 0.3874518573284149, 0.39625757932662964, 0.40011006593704224, 0.41056686639785767, 0.4078150689601898, 0.4122179448604584, 0.4133186638355255, 0.4186422526836395, 0.43863511085510254, 0.43093010783195496, 0.44358834624290466, 0.4303797483444214, 0.4358833134174347, 0.44358834624290466, 0.445239394903183, 0.45294442772865295, 0.4353329539299011, 0.43808475136756897, 0.4617501497268677, 0.4375343918800354, 0.45899835228919983, 0.4667033553123474, 0.4573472738265991, 0.4595487117767334, 0.4611997902393341, 0.46395155787467957, 0.46064943075180054, 0.4689047932624817, 0.47165659070014954, 0.4595487117767334, 0.44909191131591797, 0.47165659070014954, 0.44964227080345154, 0.45844799280166626, 0.47881123423576355, 0.4683544337749481, 0.47495871782302856, 0.46928879618644714, 0.4727572798728943, 0.49367088079452515, 0.4738579988479614, 0.48266372084617615, 0.46615299582481384, 0.4821133613586426, 0.4810126721858978]","[127.14430236816406, 124.40760803222656, 121.73402404785156, 119.16755676269531, 116.71260070800781, 114.29901123046875, 111.95338439941406, 109.69535827636719, 107.56682586669922, 105.46052551269531, 103.47969818115234, 101.51549530029297, 99.6494140625, 97.87620544433594, 96.11432647705078, 94.47398376464844, 92.83384704589844, 91.2626953125, 89.73790740966797, 88.3145980834961, 86.8873062133789, 85.53604888916016, 84.22589111328125, 82.96623229980469, 81.77468872070312, 80.61579132080078, 79.48289489746094, 78.42196655273438, 77.3537826538086, 76.38398742675781, 75.424560546875, 74.4875717163086, 73.63648986816406, 72.77734375, 71.93536376953125, 71.15835571289062, 70.43585205078125, 69.72222900390625, 69.04207611083984, 68.38421630859375, 67.77545166015625, 67.17737579345703, 66.64314270019531, 66.08501434326172, 65.55504608154297, 65.0761489868164, 64.59764862060547, 64.18264770507812, 63.761505126953125, 63.36100769042969, 62.96438217163086, 62.60488510131836, 62.26905059814453, 61.97337341308594, 61.6701545715332]","[0.1796875, 0.2669270932674408, 0.2942708432674408, 0.3294270932674408, 0.3541666567325592, 0.33984375, 0.3515625, 0.3645833432674408, 0.3828125, 0.41015625, 0.4049479067325592, 0.3958333432674408, 0.4114583432674408, 0.4036458432674408, 0.4401041567325592, 0.453125, 0.3958333432674408, 0.4153645932674408, 0.4661458432674408, 0.4466145932674408, 0.44140625, 0.4778645932674408, 0.4361979067325592, 0.4765625, 0.4661458432674408, 0.42578125, 0.48828125, 0.4921875, 0.4635416567325592, 0.4739583432674408, 0.5052083134651184, 0.4856770932674408, 0.5078125, 0.50390625, 0.4947916567325592, 0.4856770932674408, 0.5026041865348816, 0.5052083134651184, 0.49609375, 0.4674479067325592, 0.5234375, 0.47265625, 0.5091145634651184, 0.5078125, 0.5286458134651184, 0.4921875, 0.5065104365348816, 0.515625, 0.5, 0.5, 0.5026041865348816, 0.51953125, 0.5143229365348816, 0.5065104365348816, 0.5013020634651184]","[125.70429229736328, 122.98050689697266, 120.35381317138672, 117.80941009521484, 115.3444595336914, 112.99127960205078, 110.7009506225586, 108.48148345947266, 106.3636474609375, 104.32013702392578, 102.33454132080078, 100.44580078125, 98.62640380859375, 96.86322021484375, 95.1322250366211, 93.4615249633789, 91.9124984741211, 90.355712890625, 88.86373901367188, 87.44247436523438, 86.06350708007812, 84.71228790283203, 83.45262145996094, 82.21273803710938, 81.04041290283203, 79.93090057373047, 78.79329681396484, 77.75617218017578, 76.7275619506836, 75.7538833618164, 74.78765106201172, 73.89618682861328, 73.04080963134766, 72.2138900756836, 71.41529846191406, 70.65715789794922, 69.92071533203125, 69.22872161865234, 68.56210327148438, 67.95893096923828, 67.31908416748047, 66.77043151855469, 66.19607543945312, 65.675048828125, 65.19808197021484, 64.7235336303711, 64.24201202392578, 63.81927490234375, 63.4080924987793, 63.03826904296875, 62.67014694213867, 62.32206726074219, 61.99599075317383, 61.68913269042969, 61.404361724853516]"
5,short_residuals,512,64,0.01,"[0.16015410423278809, 0.18326912820339203, 0.2003302127122879, 0.23445239663124084, 0.2559163570404053, 0.2724270820617676, 0.2757292091846466, 0.2812328040599823, 0.3015960454940796, 0.29499173164367676, 0.29279032349586487, 0.30434781312942505, 0.3307650089263916, 0.3214089274406433, 0.3395707309246063, 0.32801321148872375, 0.3236103355884552, 0.33406713604927063, 0.34837645292282104, 0.3516785800457001, 0.33406713604927063, 0.35718217492103577, 0.3626857399940491, 0.3456246554851532, 0.3533296585083008, 0.3654375374317169, 0.3698403835296631, 0.3692900240421295, 0.3588332533836365, 0.3769950568675995, 0.34837645292282104, 0.3566318154335022, 0.3654375374317169, 0.3604843020439148, 0.37039074301719666, 0.36488717794418335, 0.37369289994239807, 0.38139790296554565, 0.3802971839904785, 0.38139790296554565, 0.37754541635513306, 0.3659878969192505, 0.37424325942993164, 0.3764446973800659, 0.3764446973800659, 0.38139790296554565, 0.3769950568675995, 0.3764446973800659, 0.3841497004032135, 0.3692900240421295, 0.37424325942993164]","[17.784727096557617, 17.32166862487793, 16.90275001525879, 16.47541046142578, 16.06779670715332, 15.682340621948242, 15.328262329101562, 14.962735176086426, 14.623333930969238, 14.298055648803711, 13.986979484558105, 13.67296314239502, 13.383176803588867, 13.100488662719727, 12.836014747619629, 12.596583366394043, 12.347041130065918, 12.095617294311523, 11.85953426361084, 11.64941692352295, 11.44399642944336, 11.250386238098145, 11.04521656036377, 10.854541778564453, 10.703310012817383, 10.5324068069458, 10.352134704589844, 10.206817626953125, 10.06691837310791, 9.91591739654541, 9.795029640197754, 9.673385620117188, 9.537755012512207, 9.41777229309082, 9.314248085021973, 9.21145248413086, 9.0807466506958, 8.993935585021973, 8.908047676086426, 8.818365097045898, 8.73890495300293, 8.664633750915527, 8.585963249206543, 8.510173797607422, 8.451796531677246, 8.37070369720459, 8.329010009765625, 8.256988525390625, 8.214400291442871, 8.172948837280273, 8.09898567199707]","[0.1692708283662796, 0.2057291716337204, 0.2369791716337204, 0.24609375, 0.2578125, 0.26953125, 0.2747395932674408, 0.28515625, 0.296875, 0.3059895932674408, 0.2994791567325592, 0.33203125, 0.3424479067325592, 0.3463541567325592, 0.3528645932674408, 0.3463541567325592, 0.3528645932674408, 0.3346354067325592, 0.3684895932674408, 0.3541666567325592, 0.3684895932674408, 0.3815104067325592, 0.36328125, 0.3815104067325592, 0.3828125, 0.3854166567325592, 0.3893229067325592, 0.3802083432674408, 0.3880208432674408, 0.3776041567325592, 0.39453125, 0.3984375, 0.390625, 0.3971354067325592, 0.38671875, 0.4036458432674408, 0.4010416567325592, 0.3997395932674408, 0.4075520932674408, 0.390625, 0.4088541567325592, 0.39453125, 0.3984375, 0.39453125, 0.3919270932674408, 0.3828125, 0.40234375, 0.4088541567325592, 0.4049479067325592, 0.4088541567325592, 0.3893229067325592]","[17.5413875579834, 17.10255241394043, 16.665021896362305, 16.261749267578125, 15.859387397766113, 15.475836753845215, 15.11340045928955, 14.7635498046875, 14.414328575134277, 14.088703155517578, 13.77446460723877, 13.471190452575684, 13.180088996887207, 12.900919914245605, 12.637123107910156, 12.395770072937012, 12.139140129089355, 11.919255256652832, 11.675070762634277, 11.46607494354248, 11.267448425292969, 11.05823040008545, 10.885506629943848, 10.69935131072998, 10.528080940246582, 10.350383758544922, 10.193830490112305, 10.056241035461426, 9.907662391662598, 9.769862174987793, 9.62083911895752, 9.509461402893066, 9.379857063293457, 9.276286125183105, 9.161942481994629, 9.051240921020508, 8.954631805419922, 8.859780311584473, 8.768948554992676, 8.682332038879395, 8.592105865478516, 8.528419494628906, 8.460064888000488, 8.391845703125, 8.312289237976074, 8.27439022064209, 8.199870109558105, 8.14053726196289, 8.08535099029541, 8.040393829345703, 7.999317169189453]"
